username,public_repos,public_gists,followers,following,repos_count,contribution,JavaScript,Java,HTML,CSS,C,Python,C++,TypeScript,C#,Dart,Kotlin,PHP,Go,industry_score
sajinikaushi,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
ChalaniAththanayake,5,0,0,0,5,4,9.36,100.0,37.59,7.88,0.0,0.0,0.0,72.42,0.0,0.0,0.0,0.0,0.0,13.180555555555555
Madubhashini,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hirushi329,6,0,1,0,6,4,0.02,99.75,0.97,0.13,0.0,99.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.827777777777776
smffernando,14,0,0,1,14,3,32.82,0.0,38.05,22.37,0.0,0.0,0.0,19.04,0.0,0.0,0.0,90.31,22.74,14.129444444444445
TMVF,6,0,1,2,6,5,11.57,0.0,13.39,0.93,0.0,0.0,0.0,70.68,0.0,0.0,0.0,85.94,0.0,10.972777777777777
harshani5chathurika,13,0,4,1,13,13,6.89,34.61,54.31,38.14,0.0,65.16,10.23,0.0,0.0,87.46,1.4,50.0,0.0,21.066666666666663
udani8,1,0,0,0,1,1,1.39,0.0,6.46,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.21,0.0,5.628333333333333
Imarshana,5,0,0,0,5,2,6.12,0.0,12.55,2.05,0.0,0.0,0.0,46.55,49.09,0.0,0.0,0.0,0.0,7.02
NelumChathurika,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jinadiwathsala,6,0,0,0,6,3,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.777777777777779
Ashini95,8,0,0,0,8,3,35.04,0.0,29.26,15.97,0.0,60.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.708333333333334
kasthury,2,0,0,1,2,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833333333333333
harshamadutharanga,8,0,0,0,8,4,47.13,0.0,30.05,22.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.430000000000001
shaavi,15,0,4,0,15,5,12.62,0.0,52.48,0.54,0.0,60.8,0.0,0.0,0.0,0.0,0.0,66.34,0.0,12.598888888888888
MalshaPrabuddhi,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667
tharindupradeep1,10,0,1,0,10,12,50.84,0.17,29.67,13.59,0.01,0.0,0.12,0.0,0.0,99.08,0.02,60.83,0.0,15.296111111111113
Rathnayaka,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
Lasith650,55,0,1,0,30,14,58.23,55.14,27.67,9.94,0.0,0.0,0.0,21.26,100.0,0.0,0.0,0.0,61.77,23.33388888888889
CDharshana,8,0,0,0,8,11,23.64,71.03,26.54,4.31,0.0,0.0,0.0,55.92,68.15,0.0,0.0,28.11,0.0,16.31666666666667
Milanda17,24,0,6,0,24,14,24.22,68.6,26.78,12.8,0.0,11.83,0.0,69.38,0.0,0.0,0.0,59.89,0.0,18.194444444444443
